vacancy name,vacancy id,vacancy location,salary,url,employer id,employer name,job requirement,responsibility,experience
Маляр-отделочник на внутренний текущий ремонт,82333655,Минск,2100,https://hh.ru/vacancy/82333655,4955362,Сбер Строй,"Знание технологии выполнения работ. Аккуратность в работе. Адекватность и пунктуальность. Трудолюбие, внимательность, физическая выносливость. Желание зарабатывать достойно и приносить прибыль...","Выполнение комплекса отделочных работ по текущему ремонту жилых, спортивных, научных, образовательных и медицинских учреждений (""внутрянка""). Следование должностной инструкции компании. ",От 1 года до 3 лет
Производитель общестроительных работ (прораб),82240646,Минск,2000,https://hh.ru/vacancy/82240646,4955362,Сбер Строй,"Знание СНИП, ГОСТ, СП, проектной документации, нормативных актов. - Высшие или среднее строительное образование (общестроительные работы). - Грамотная устная речь. - ","В связи с расширением штата требуется производитель работ (прораб) для контроля и ведения работ, связанных с выполнением текущих и капитальных...",От 1 года до 3 лет
Плиточник-облицовщик на внутренний текущий ремонт,82334509,Минск,2100,https://hh.ru/vacancy/82334509,4955362,Сбер Строй,"Знание технологии выполнения работ. Аккуратность в работе. Адекватность и пунктуальность. Трудолюбие, внимательность, физическая выносливость. Желание зарабатывать достойно и приносить прибыль...","Выполнение комплекса облицовочных работ по текущему ремонту жилых, спортивных, научных, образовательных и медицинских учреждений (""внутрянка""). Следование должностной инструкции компании. ",От 1 года до 3 лет
